Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
1728,135.061,71.4118,137.319,70.3237
5832,260.2805,75.59694999999999,267.697,76.18635
17576,385.5,79.7821,398.075,82.049
39304,791.776,87.0962,819.587,85.9528
74088,1247.72,87.3983,917.587,88.4957
140608,1304.26,90.5537,1136.3,88.8529
287496,1429.03,90.5537,1218.46,88.8529
551368,1558.41,90.5537,1293.91,88.4957
1124864,1626.25,90.83,1347.28,88.181
1643032,1637.44,90.56115,1355.46,88.14394999999999
3241792,1648.63,90.2923,1363.64,88.1069
