Problem size,Base_CUDA-compile_time_block_stride_loop_64,Base_OpenMP-default,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64,RAJA_OpenMP-default
196608,26.3235,3.41301,37.8648,40.1612,3.43004
389120,39.47345,3.4176450000000003,56.041850000000004,59.50995,3.693995
778240,52.6234,3.41301,74.2189,78.8587,3.95795
1556480,99.1861,3.42228,113.073,122.96,4.01057
3108864,167.196,3.94823,156.721,171.378,4.06455
6213632,180.199,4.04067,176.42,193.543,4.06455
9101312,188.455,4.04185,181.82,200.861,4.07872
18198528,217.758,4.05179,202.263,200.861,4.08789
24260608,220.491,4.05179,202.263,220.053,4.08789
30326784,221.10750000000002,4.062015,202.40300000000002,222.587,4.083304999999999
36392960,221.724,4.07224,202.543,220.053,4.08789
