Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
1000,12.5732,2.51995,12.6973,2.17289
5832,65.7598,10.6389,66.6716,9.5326
27000,271.134,8.35392,271.554,6.71828
54872,425.5,15.3146,425.794,15.2534
117649,609.473,15.8592,612.212,15.7937
238328,718.709,16.0386,726.006,15.9919
493039,829.314,16.0964,829.918,16.1338
1000000,897.96,14.4274,899.209,14.937
2048383,869.604,16.1168,872.56,16.122
2985984,882.213,16.0786,884.227,16.0954
6028568,912.084,16.0415,913.016,15.5211
