Problem size,Base_CUDA-compile_time_block_stride_loop_64 (raw),Base_CUDA-compile_time_block_stride_loop_64 (smoothed),Base_OpenMP-default (raw),Base_OpenMP-default (smoothed),RAJA_CUDA-cached_block_stride_loop_64 (raw),RAJA_CUDA-cached_block_stride_loop_64 (smoothed),RAJA_CUDA-compile_time_block_stride_loop_64 (raw),RAJA_CUDA-compile_time_block_stride_loop_64 (smoothed),RAJA_OpenMP-default (raw),RAJA_OpenMP-default (smoothed),Base_CUDA-compile_time_block_stride_loop_64 (raw B/W),Base_CUDA-compile_time_block_stride_loop_64 (smoothed B/W),Base_OpenMP-default (raw B/W),Base_OpenMP-default (smoothed B/W),RAJA_CUDA-cached_block_stride_loop_64 (raw B/W),RAJA_CUDA-cached_block_stride_loop_64 (smoothed B/W),RAJA_CUDA-compile_time_block_stride_loop_64 (raw B/W),RAJA_CUDA-compile_time_block_stride_loop_64 (smoothed B/W),RAJA_OpenMP-default (raw B/W),RAJA_OpenMP-default (smoothed B/W)
196608,12.3365,23.998,3.11134,3.11134,17.6035,34.5196,18.5529,36.6132,3.01081,3.12702,13.5326,26.3235,3.41301,3.41301,19.3103,37.8648,20.3518,40.1612,3.30273,3.43004
389120,23.998,35.9868,2.21536,3.1157000000000004,34.5196,51.091699999999996,36.6132,54.2535,3.12702,3.3677,26.3235,39.47345,2.43004,3.4176450000000003,37.8648,56.041850000000004,40.1612,59.50995,3.43004,3.693995
778240,47.9756,47.9756,3.59952,3.11134,67.6638,67.6638,71.8938,71.8938,3.60838,3.60838,52.6234,52.6234,3.94823,3.41301,74.2189,74.2189,78.8587,78.8587,3.95795,3.95795
1556480,90.4269,90.4269,3.12006,3.12006,103.088,103.088,112.101,112.101,3.6564,3.6564,99.1861,99.1861,3.42228,3.42228,113.073,113.073,122.96,122.96,4.01057,4.01057
3108864,152.432,152.432,1.88502,3.59952,142.882,142.882,156.245,156.245,3.70564,3.70564,167.196,167.196,2.0676,3.94823,156.721,156.721,171.378,171.378,4.06455,4.06455
6213632,164.287,164.287,3.68495,3.68387,160.842,160.842,176.453,176.453,3.75715,3.70564,180.199,180.199,4.04185,4.04067,176.42,176.42,193.543,193.543,4.12104,4.06455
9101312,171.814,171.814,3.68387,3.68495,165.765,165.765,183.124,183.124,3.74383,3.71857,188.455,188.455,4.04067,4.04185,181.82,181.82,200.861,200.861,4.10643,4.07872
18198528,198.53,198.53,3.69402,3.69402,184.403,184.403,205.242,183.124,2.57135,3.72693,217.758,217.758,4.05179,4.05179,202.263,202.263,225.121,200.861,2.82039,4.08789
24260608,201.022,201.022,3.71266,3.69402,184.658,184.403,205.755,200.623,3.71857,3.72693,220.491,220.491,4.07224,4.05179,202.543,202.263,225.682,220.053,4.07872,4.08789
30326784,202.146,201.584,3.72001,3.70334,185.422,184.5305,178.344,202.9325,3.72693,3.72275,221.724,221.10750000000002,4.08029,4.062015,203.38,202.40300000000002,195.617,222.587,4.08789,4.083304999999999
36392960,208.483,202.146,2.9548,3.71266,168.961,184.658,200.623,200.623,3.74129,3.72693,228.675,221.724,3.24097,4.07224,185.325,202.543,220.053,220.053,4.10364,4.08789
