Problem size,Base_CUDA-block_64 (raw),Base_CUDA-block_64 (smoothed),Base_OpenMP-default (raw),Base_OpenMP-default (smoothed),RAJA_CUDA-block_64 (raw),RAJA_CUDA-block_64 (smoothed),RAJA_OpenMP-default (raw),RAJA_OpenMP-default (smoothed),Base_CUDA-block_64 (raw B/W),Base_CUDA-block_64 (smoothed B/W),Base_OpenMP-default (raw B/W),Base_OpenMP-default (smoothed B/W),RAJA_CUDA-block_64 (raw B/W),RAJA_CUDA-block_64 (smoothed B/W),RAJA_OpenMP-default (raw B/W),RAJA_OpenMP-default (smoothed B/W)
729,32.6825,168.251,11.9617,51.115,32.8379,169.044,8.79975,40.9847,16.35,80.9441,5.98404,24.591,16.4278,81.3258,4.40223,19.7174
3375,168.251,300.3285,51.115,67.36445,169.044,301.42650000000003,40.9847,56.1515,80.9441,142.96755000000002,24.591,32.115,81.3258,143.4909,19.7174,26.7637
9261,432.406,432.406,83.6139,83.6139,433.809,433.809,71.3183,71.3183,204.991,204.991,39.639,39.639,205.656,205.656,33.81,33.81
19683,752.591,752.591,94.9988,94.9988,748.026,748.026,91.5779,91.5779,354.041,354.041,44.6903,44.6903,351.894,351.894,43.081,43.081
35937,1097.09,1097.09,121.746,121.746,1097.19,1097.19,117.376,117.376,513.661,513.661,57.0016,57.0016,513.705,513.705,54.9555,54.9555
68921,1504.92,1504.92,131.031,121.746,1496.07,1496.07,132.343,117.376,701.74,701.74,61.0992,57.0016,697.614,697.614,61.7113,54.9555
132651,1799.01,1799.01,132.211,131.031,1796.67,1796.67,136.092,132.343,836.166,836.166,61.4506,61.0992,835.079,835.079,63.2546,61.7113
250047,1922.51,1922.51,121.02,132.211,1922.5,1922.5,109.267,136.092,891.348,891.348,56.1093,61.4506,891.344,891.344,50.6603,63.2546
531441,2016.11,2016.11,140.331,132.211,2015.81,2015.81,147.082,136.449,932.579,932.579,64.9119,61.4506,932.442,932.442,68.0351,63.2546
753571,2110.95,2063.5299999999997,139.217,134.9265,2112.54,2064.175,146.457,141.453,975.589,954.0840000000001,64.3397,62.31524999999999,976.323,954.3824999999999,67.6861,65.32965
1442897,2120.15,2110.95,130.636,139.217,2120.09,2112.54,136.449,146.457,978.483,975.589,60.2908,64.3397,978.455,976.323,62.9732,67.6861
