Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
5376,40.7123,19.1254,20.6636,40.1057,14.9903
21312,148.48,72.5315,78.9443,144.522,57.1437
85056,285.585,197.254,222.811,284.033,176.858
169920,436.325,315.984,383.814,431.47,308.498
339840,569.794,430.735,457.706,567.866,353.292
679680,598.63,429.548,440.619,591.351,308.182
1359360,581.153,428.786,446.575,586.172,308.987
2718720,572.139,437.879,456.897,562.164,317.566
5437248,537.258,432.97,443.781,535.509,280.354
7964736,540.262,430.463,444.654,534.465,275.986
