Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_DIFFUSION3DPA-Base_HIP-block_64,24678.0,495.369,330.124
Apps_DIFFUSION3DPA-RAJA_HIP-block_64,24678.0,521.76,347.711
Apps_EDGE3D-Base_HIP-block_256,35937.0,4005.71,10.5011
Apps_EDGE3D-RAJA_HIP-block_256,35937.0,4101.23,10.7516
Apps_ENERGY-Base_HIP-block_256,53334.0,215.83,789.411
Apps_ENERGY-RAJA_HIP-block_256,26667.0,159.117,581.98
Apps_FEMSWEEP-Base_HIP-block_64,395136.0,223.982,42.7271
Apps_FEMSWEEP-RAJA_HIP-block_64,395136.0,238.246,45.4482
Apps_INTSC_HEXRECT-Base_HIP-block_64,140608.0,144.933,1.77572
Apps_INTSC_HEXRECT-RAJA_HIP-block_64,74088.0,140.089,1.71962
Apps_MASS3DEA-Base_HIP-compile_time_block_stride_loop_64,9101312.0,31.7338,34.8073
Apps_MASS3DEA-RAJA_HIP-cached_block_stride_loop_64,12423168.0,44.8124,49.1526
Apps_MASS3DEA-RAJA_HIP-compile_time_block_stride_loop_64,1556480.0,6.28118,6.8896
Apps_MASS3DPA_ATOMIC-Base_HIP-block_64,19683.0,402.507,189.351
Apps_MASS3DPA_ATOMIC-RAJA_HIP-block_64,19683.0,414.708,195.091
Apps_MASSVEC3DPA-Base_HIP-direct_64,339840.0,569.794,173.816
Apps_MASSVEC3DPA-Base_HIP-runtime_block_stride_loop_64,339840.0,430.735,131.396
Apps_MASSVEC3DPA-RAJA_HIP-cached_block_stride_loop_64,339840.0,457.706,139.624
Apps_MASSVEC3DPA-RAJA_HIP-direct_64,339840.0,567.866,173.228
Apps_MASSVEC3DPA-RAJA_HIP-runtime_block_stride_loop_64,169920.0,308.498,94.1104
Apps_NODAL_ACCUMULATION_3D-Base_HIP-block_256,117649.0,35.2003,120.203
Apps_NODAL_ACCUMULATION_3D-RAJA_HIP-block_256,117649.0,35.6716,121.812
Apps_VOL3D-Base_HIP-block_256,35937.0,601.232,254.352
Apps_VOL3D-RAJA_HIP-block_256,35937.0,616.921,260.99
