Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Mean Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GB per sec.)
Apps_DIFFUSION3DPA,Base_HIP,block_64,405, PASSED     ,3.47542e-06,15.0044,22.439,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,84.3139,
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,405, PASSED     ,3.04702e-06,17.114,25.5939,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,94.9493,
Apps_DIFFUSION3DPA,Base_HIP,block_64,394524, PASSED     ,0.000153242,330.352,495.738,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,541.9135,
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,394524, PASSED     ,0.000145663,347.54,521.531,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,566.046,
Apps_DIFFUSION3DPA,Base_HIP,block_64,49329, PASSED     ,1.74957e-05,361.796,542.91,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,542.91,
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,49329, PASSED     ,1.66713e-05,379.687,569.757,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,569.757,
Apps_DIFFUSION3DPA,Base_HIP,block_64,577935, PASSED     ,0.000232935,318.365,477.751,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,495.738,
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,577935, PASSED     ,0.00022366,331.566,497.561,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,521.531,
Apps_DIFFUSION3DPA,Base_HIP,block_64,6183, PASSED     ,4.69842e-06,168.898,253.398,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,253.398,
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,6183, PASSED     ,4.39162e-06,180.697,271.101,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,271.101,
