Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
417,1.6015,6.39119,2.57979,10.4341
1667,6.39119,16.521545,10.4341,25.49025
6667,26.6519,26.6519,40.5464,40.5464
13334,54.5392,54.5392,85.5707,85.5707
26667,109.53,109.53,158.146,153.927
53334,214.934,153.536,228.482,154.157
106667,153.536,154.238,153.927,158.146
213334,154.238,161.032,154.157,160.141
426667,161.684,157.635,160.141,157.149
625000,161.032,161.032,163.878,160.141
