Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
1728,22.2696,71.5069,23.5546,77.2391,0.280936,0.890078,0.297148,0.961429
5832,71.5069,94.21545,77.2391,98.69454999999999,0.890078,1.1671690000000001,0.961429,1.2227695
17576,116.924,116.924,120.15,120.15,1.44426,1.44426,1.48411,1.48411
39304,123.996,123.996,125.488,125.488,1.52565,1.52565,1.54402,1.54402
74088,138.839,138.839,140.089,140.089,1.70428,1.70428,1.71962,1.71962
140608,144.933,144.933,147.439,147.439,1.77572,1.77572,1.80642,1.80642
287496,148.585,148.585,149.099,149.099,1.81744,1.81744,1.82373,1.82373
551368,153.559,153.559,154.178,154.178,1.87605,1.87605,1.88361,1.88361
1124864,154.707,154.13299999999998,154.563,154.3705,1.88813,1.88209,1.88638,1.884995
1643032,155.316,154.707,154.667,154.563,1.89472,1.88813,1.8868,1.88638
