Problem size,Base_HIP-compile_time_block_stride_loop_64 (raw),Base_HIP-compile_time_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-compile_time_block_stride_loop_64 (raw),RAJA_HIP-compile_time_block_stride_loop_64 (smoothed)
8192,0.267749,0.798103,0.231851,0.703317,0.14766,0.440529
24576,0.798103,1.9553365,0.703317,1.7360484999999999,0.440529,1.0224245
98304,3.11257,3.11257,2.76878,2.76878,1.60432,1.60432
196608,6.25312,6.25312,5.50258,5.50258,2.90207,2.90207
389120,11.7084,11.7084,10.6838,10.6838,5.12075,4.7694
778240,22.4952,22.4952,19.406,19.406,4.7694,5.12075
1556480,24.1501,24.1501,25.0317,25.0317,5.86568,5.86568
3108864,33.1859,33.1859,36.0184,36.0184,6.69492,6.32086
6213632,34.6377,33.9118,39.7435,37.418949999999995,6.32086,6.442679999999999
9101312,37.4878,34.6377,38.8195,38.8195,6.5645,6.5645
