Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
512,29.0332,127.831,44.3258,184.33
3375,127.831,281.4345,184.33,318.8655
17576,435.038,435.038,453.401,453.401
35937,601.347,573.477,616.966,588.734
79507,635.117,595.881,644.687,596.919
166375,573.477,601.347,588.734,616.966
343000,595.881,595.881,596.919,596.919
704969,614.719,573.477,622.825,588.734
1442897,572.608,584.2445,578.427,587.673
2146689,556.486,572.608,555.549,578.427
