Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
389120,27.8535,24.4293,13.7571
778240,40.408500000000004,35.314,19.02575
1556480,52.9635,46.1987,24.2944
3108864,89.42,82.1846,37.0361
6213632,147.779,139.362,37.9847
12423168,158.309,181.198,39.9667
18198528,163.563,190.934,43.933
24842240,163.563,198.214,43.933
36392960,188.293,262.612,44.3899
48521216,199.532,264.018,44.9027
60649472,209.5035,272.0855,44.77545
72781824,219.475,280.153,45.6179
