Problem size,Base_HIP-compile_time_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
12288,1.64717,1.43324,0.890499
49152,4.091654999999999,3.5513149999999998,2.2670845
196608,6.53614,5.66939,3.64367
389120,12.8622,11.1431,6.68194
778240,25.2288,21.9742,12.5222
1556480,47.845,42.1204,22.399
3108864,87.1001,79.3708,34.1932
6213632,135.25,124.646,36.1781
12423168,144.455,128.003,36.3922
18198528,159.137,174.448,39.4426
24842240,173.004,181.396,39.4426
36392960,176.2665,202.6995,39.481899999999996
48521216,179.529,224.003,39.5212
