Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,279.244,142.738,152.288,274.871,113.799
42624,609.2045,336.60699999999997,361.073,600.6949999999999,268.1555
169920,939.165,530.476,569.858,926.519,422.512
339840,1360.05,895.325,980.21,1341.97,761.618
679680,1648.5,1178.6,1450.34,1636.08,1170.04
1359360,2648.11,2051.15,2101.42,2621.99,1544.2
2718720,3156.76,2436.31,2527.46,3148.14,1720.49
5437248,3325.17,2572.32,2690.52,3338.47,1772.91
10874496,3345.72,2577.2,2694.28,3338.47,1806.09
15929280,3345.72,2579.13,2694.28,3338.47,1806.09
21748800,3325.17,2597.02,2697.87,3320.8,1772.91
31858560,3307.755,2605.8199999999997,2701.8199999999997,3290.11,1730.5
42477888,3290.34,2614.62,2713.12,3259.42,1688.09
