Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed)
1331,1342.45,5861.23,1393.6,6015.85
8000,5861.23,13135.115,6015.85,13529.625
35937,20409.0,20409.0,21043.4,21043.4
79507,22991.3,21986.7,22380.4,22079.1
166375,21986.7,22991.3,22079.1,22380.4
343000,25381.4,24098.0,25349.3,24559.8
704969,24098.0,24547.4,24559.8,24769.3
1442897,24571.0,24571.0,24838.3,24838.3
2985984,24547.4,24571.0,24769.3,24838.3
4410944,24951.3,24951.3,25276.8,25276.8
6028568,25145.2,25145.2,25400.5,25400.5
8869743,25371.7,25224.5,25621.2,25472.1
12008989,25303.8,25303.8,25543.7,25543.7
