Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
31104,220.101,387.056,242.336,420.864,39.5265,71.4333,43.5196,77.6727
73728,387.056,465.47900000000004,420.864,510.273,71.4333,86.70115,77.6727,95.04985
144000,543.902,543.902,599.682,599.682,101.969,101.969,112.427,112.427
248832,730.635,730.635,783.906,783.906,138.382,138.382,148.472,148.472
395136,925.75,925.75,984.329,984.329,176.598,176.598,187.772,187.772
839808,1119.05,1012.84,1121.08,984.329,215.487,196.185,215.877,187.772
1152000,1077.63,1072.7,1150.62,1097.7,208.185,208.185,222.286,213.481
1533312,1012.84,1072.7,966.912,1108.07,196.185,208.185,187.289,215.838
2530944,1072.7,1047.31,1097.7,1097.7,208.62,204.003,213.481,213.481
3161088,1047.31,1030.11,1108.07,1085.79,204.003,200.925,215.838,211.787
3888000,1030.11,1038.71,1085.79,1091.745,200.925,202.464,211.787,212.63400000000001
4718592,984.842,1030.11,1062.07,1085.79,192.325,200.925,207.406,211.787
