Problem size,Base_HIP-compile_time_block_stride_loop_64 (raw),Base_HIP-compile_time_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-compile_time_block_stride_loop_64 (raw),RAJA_HIP-compile_time_block_stride_loop_64 (smoothed)
12288,0.415996,1.64717,0.360668,1.43324,0.223168,0.890499
49152,1.64717,4.091654999999999,1.43324,3.5513149999999998,0.890499,2.2670845
196608,6.53614,6.53614,5.66939,5.66939,3.64367,3.64367
389120,12.8622,12.8622,11.1431,11.1431,6.68194,6.68194
778240,25.2288,25.2288,21.9742,21.9742,12.5222,12.5222
1556480,47.845,47.845,42.1204,42.1204,22.399,22.399
3108864,87.1001,87.1001,79.3708,79.3708,34.1932,34.1932
6213632,159.137,135.25,128.003,124.646,36.3922,36.1781
12423168,135.25,144.455,124.646,128.003,36.1781,36.3922
18198528,144.455,159.137,181.396,174.448,39.4426,39.4426
24842240,173.004,173.004,174.448,181.396,40.5711,39.4426
36392960,179.529,176.2665,224.003,202.6995,39.5212,39.481899999999996
48521216,198.565,179.529,224.388,224.003,39.1365,39.5212
