Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
2744,10.4665,41.7103,10.58,41.6945,38.6435,147.523,39.0624,147.467
12167,41.7103,76.45065,41.6945,76.81225,147.523,265.3185,147.467,266.563
54872,111.191,111.191,111.93,111.93,383.114,383.114,385.659,385.659
117649,134.018,134.018,140.432,140.432,457.646,457.646,479.552,479.552
238328,172.151,172.151,177.844,177.844,584.072,584.072,603.386,603.386
493039,188.898,188.898,189.463,189.463,637.538,637.538,639.446,639.446
1000000,206.603,206.603,206.809,206.809,694.503,694.503,695.197,695.197
2048383,210.696,210.696,211.101,211.101,705.999,705.999,707.354,707.354
4096000,219.19,219.19,220.635,220.635,732.667,732.667,737.498,737.498
6028568,222.297,222.297,222.727,222.727,742.208,742.208,743.644,743.644
8242408,226.72,226.72,227.478,227.478,756.357,756.357,758.886,758.886
12167000,227.332,227.026,227.831,227.65449999999998,757.711,757.034,759.375,759.1305
16194277,233.514,227.332,233.577,227.831,777.855,757.711,778.063,759.375
