Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
405,46.0558,24.9941,49.4724,17.0645
1566,111.9669,46.4987,118.5302,34.48175
6183,177.878,68.0033,187.588,51.899
12339,348.025,119.648,367.219,91.7068
24678,596.193,146.724,642.596,123.005
49329,966.739,158.499,1062.46,143.107
98631,1411.86,179.41,1370.1,173.291
197262,1621.3,179.41,1660.24,173.291
394524,1660.64,179.41,1666.7,173.291
577935,1691.21,168.03449999999998,1719.095,169.329
1155843,1721.78,154.868,1771.49,155.688
