Problem size,Base_CUDA-block_64,Base_OpenMP-default,RAJA_CUDA-block_64,RAJA_OpenMP-default
405,18.0121,12.252,19.2416,6.58828
1566,69.0517,37.4738,74.1742,25.5849
6183,266.871,102.026,281.439,77.8643
12339,522.201,179.528,551.002,137.603
24678,894.621,220.167,964.251,184.576
49329,1450.69,237.844,1594.32,214.746
98631,2118.66,269.227,2056.01,260.044
197262,2492.01,278.439,2491.41,276.02
394524,2432.98,271.917,2501.11,274.571
577935,2583.76,232.4,2658.37,233.631
1155843,2822.05,115.177,2867.13,114.875
