Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
417,6.4799,12.4489,6.46054,11.54
1667,25.448,73.2064,25.4657,66.7925
6667,101.147,170.926,99.9028,156.785
13334,198.546,385.536,199.303,373.651
26667,386.563,565.118,386.37,536.681
53334,740.513,726.338,736.89,703.917
106667,1333.82,768.296,1336.59,744.608
213334,2255.03,886.414,2247.39,871.633
426667,3142.26,908.026,3149.53,886.271
625000,2950.65,884.662,2942.57,861.131
1250000,2639.99,492.167,2645.76,489.162
