Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
417,25.448,73.2064,25.4657,66.7925
1667,63.2975,122.0662,62.68425,111.78875
6667,101.147,170.926,99.9028,156.785
13334,198.546,385.536,199.303,373.651
26667,386.563,565.118,386.37,536.681
53334,740.513,726.338,736.89,703.917
106667,1333.82,768.296,1336.59,744.608
213334,2255.03,884.662,2247.39,861.131
426667,2639.99,884.662,2645.76,861.131
625000,2795.3199999999997,885.538,2794.165,866.3820000000001
1250000,2950.65,884.662,2942.57,861.131
