Problem size,Base_CUDA-compile_time_block_stride_loop_64,RAJA_CUDA-cached_block_stride_loop_64,RAJA_CUDA-compile_time_block_stride_loop_64
196608,24.1956,34.0535,36.0334
389120,36.135549999999995,50.53445,54.20335
778240,48.0755,67.0154,72.3733
1556480,89.7668,100.483,108.987
3108864,153.63,128.219,154.866
6213632,168.394,162.047,179.004
9101312,175.625,167.191,184.927
18198528,201.229,184.984,206.783
24260608,202.929,185.879,206.783
30326784,203.06400000000002,186.0205,206.91199999999998
36392960,203.199,186.162,206.783
