Problem size,Base_CUDA-block_256,Base_OpenMP-default,RAJA_CUDA-block_256,RAJA_OpenMP-default
1000,18.2517,2.39881,18.5048,1.92914
5832,48.0537,2.67582,48.24055,2.287465
27000,77.8557,2.95283,77.9763,2.64579
54872,123.493,4.44474,123.578,4.42698
117649,178.479,4.64423,179.281,4.62506
238328,211.835,4.64423,213.985,4.62506
493039,245.72,4.72728,245.899,4.7135
1000000,259.522,4.76925,260.405,4.78032
2048383,263.654,4.80454,264.256,4.78032
2985984,265.39099999999996,4.804855,265.8775,4.7294350000000005
6028568,263.654,4.80517,264.256,4.81019
