Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Apps_DIFFUSION3DPA-Base_CUDA-block_64,197262.0,2508.94,1671.93
Apps_DIFFUSION3DPA-RAJA_CUDA-block_64,197262.0,2505.94,1669.93
Apps_EDGE3D-Base_CUDA-block_256,166375.0,1516.11,3.46516
Apps_EDGE3D-RAJA_CUDA-block_256,166375.0,1514.53,3.46155
Apps_ENERGY-Base_CUDA-block_256,625000.0,819.975,2999.11
Apps_ENERGY-RAJA_CUDA-block_256,625000.0,818.54,2993.86
Apps_FEMSWEEP-Base_CUDA-block_128,1533312.0,319.717,61.9286
Apps_FEMSWEEP-RAJA_CUDA-block_128,1533312.0,270.733,52.4405
Apps_INTSC_HEXRECT-Base_CUDA-block_64,551368.0,1558.36,19.0387
Apps_INTSC_HEXRECT-RAJA_CUDA-block_64,551368.0,1303.18,15.9211
Apps_MASS3DEA-Base_CUDA-compile_time_block_stride_loop_64,18198528.0,201.042,220.513
Apps_MASS3DEA-RAJA_CUDA-cached_block_stride_loop_64,9101312.0,166.997,183.171
Apps_MASS3DEA-RAJA_CUDA-compile_time_block_stride_loop_64,18198528.0,207.164,227.228
Apps_MASS3DPA_ATOMIC-Base_CUDA-block_64,250047.0,1711.67,793.596
Apps_MASS3DPA_ATOMIC-RAJA_CUDA-block_64,250047.0,1707.92,791.859
Apps_MASSVEC3DPA-Base_CUDA-direct_64,2718720.0,2429.38,741.065
Apps_MASSVEC3DPA-Base_CUDA-runtime_block_stride_loop_64,2718720.0,1663.48,507.434
Apps_MASSVEC3DPA-RAJA_CUDA-cached_block_stride_loop_64,1359360.0,1502.65,458.376
Apps_MASSVEC3DPA-RAJA_CUDA-direct_64,2718720.0,2419.59,738.079
Apps_MASSVEC3DPA-RAJA_CUDA-runtime_block_stride_loop_64,1359360.0,1501.09,457.897
Apps_NODAL_ACCUMULATION_3D-Base_CUDA-block_256,493039.0,246.098,830.593
Apps_NODAL_ACCUMULATION_3D-RAJA_CUDA-block_256,493039.0,244.63,825.636
Apps_VOL3D-Base_CUDA-block_256,704969.0,5051.5,2108.35
Apps_VOL3D-RAJA_CUDA-block_256,343000.0,4699.8,1965.9
