Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
417,1.76036,7.00227,1.76336,6.88104,6.43863,25.6112,6.44958,25.1678
1667,7.00227,17.373135,6.88104,17.32577,25.6112,63.543099999999995,25.1678,63.3699
6667,27.744,27.744,27.7705,27.7705,101.475,101.475,101.572,101.572
13334,53.375,53.375,53.824,53.824,195.222,195.222,196.864,196.864
26667,112.418,112.418,111.782,111.782,411.174,411.174,408.849,408.849
53334,213.617,213.617,213.723,213.723,781.316,781.316,781.705,781.705
106667,361.902,361.902,363.262,363.262,1323.68,1323.68,1328.65,1328.65
213334,613.066,613.066,610.512,610.512,2242.32,2242.32,2232.98,2232.98
426667,832.884,721.687,831.704,722.372,3046.32,2639.61,3042.0,2642.12
625000,819.975,770.831,818.54,770.4559999999999,2999.11,2819.36,2993.86,2817.99
1250000,721.687,819.975,722.372,818.54,2639.61,2999.11,2642.12,2993.86
