Problem size,Base_CUDA-block_128 (raw),Base_CUDA-block_128 (smoothed),RAJA_CUDA-block_128 (raw),RAJA_CUDA-block_128 (smoothed),Base_CUDA-block_128 (raw B/W),Base_CUDA-block_128 (smoothed B/W),RAJA_CUDA-block_128 (raw B/W),RAJA_CUDA-block_128 (smoothed B/W)
31104,82.98885,107.988,55.72685,72.00375,14.903400000000001,19.72225,10.0076,13.15005
73728,132.497,132.497,88.2544,88.2544,24.4531,24.4531,16.2878,16.2878
144000,183.978,183.978,125.579,125.579,34.4916,34.4916,23.5433,23.5433
248832,235.75,235.75,161.794,161.794,44.651,44.651,30.6438,30.6438
395136,242.941,242.941,190.311,190.311,46.3437,46.3437,36.304,36.304
589824,276.603,276.603,220.68,220.68,53.0459,53.0459,42.3211,42.3211
1152000,302.127,302.127,253.928,253.928,58.3672,58.3672,49.0558,49.0558
1533312,320.954,320.954,272.998,272.998,62.1682,62.1682,52.8792,52.8792
1990656,339.655,330.30449999999996,283.82,278.409,65.9347,64.05145,55.096,53.9876
2530944,341.568,339.655,297.347,283.82,66.4285,65.9347,57.8283,55.096
