Problem size,Base_CUDA-compile_time_block_stride_loop_64 (raw),Base_CUDA-compile_time_block_stride_loop_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-cached_block_stride_loop_64 (raw),RAJA_CUDA-cached_block_stride_loop_64 (smoothed),RAJA_CUDA-compile_time_block_stride_loop_64 (raw),RAJA_CUDA-compile_time_block_stride_loop_64 (smoothed),Base_CUDA-compile_time_block_stride_loop_64 (raw B/W),Base_CUDA-compile_time_block_stride_loop_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-cached_block_stride_loop_64 (raw B/W),RAJA_CUDA-cached_block_stride_loop_64 (smoothed B/W),RAJA_CUDA-compile_time_block_stride_loop_64 (raw B/W),RAJA_CUDA-compile_time_block_stride_loop_64 (smoothed B/W)
196608,12.371,24.4534,0.172475,0.173081,17.4694,34.7305,18.4941,36.4701,13.5704,26.8231,0.189198,0.189853,19.1632,38.096,20.2873,40.0042
389120,24.4534,36.41755,0.173081,0.17399150000000002,34.7305,51.6965,36.4701,54.60965,26.8231,39.94595,0.189853,0.19084849999999998,38.096,56.70515,40.0042,59.9006
778240,48.3817,48.3817,0.175105,0.173081,68.6625,68.6625,72.7492,72.7492,53.0688,53.0688,0.192069,0.189853,75.3143,75.3143,79.797,79.797
1556480,86.5439,86.5439,0.174902,0.173081,99.2427,99.2427,107.447,107.447,94.9269,94.9269,0.191844,0.189853,108.856,108.856,117.855,117.855
3108864,148.459,148.459,0.170552,0.170552,138.621,138.621,150.044,150.044,162.839,162.839,0.187071,0.187071,152.047,152.047,164.577,164.577
6213632,164.056,164.056,0.16971,0.16971,160.009,160.009,175.822,175.822,179.945,179.945,0.186147,0.186147,175.507,175.507,192.851,192.851
9101312,172.016,172.016,0.169502,0.169502,164.882,164.882,181.224,181.224,188.677,188.677,0.185918,0.185918,180.851,180.851,198.776,198.776
18198528,199.437,199.437,0.169224,0.169502,183.938,183.852,204.956,204.956,218.752,218.752,0.185614,0.185918,201.752,201.658,224.806,224.806
24260608,201.02,201.02,0.168307,0.169224,183.852,183.938,205.09,204.956,220.49,220.49,0.184607,0.185614,201.658,201.752,224.953,224.806
30326784,202.545,201.7825,0.170325,0.1689245,184.368,184.153,205.854,205.023,222.162,221.32600000000002,0.186821,0.185285,202.225,201.9885,225.791,224.8795
36392960,208.774,202.545,0.168625,0.168625,189.723,184.368,195.678,205.09,228.994,222.162,0.184956,0.184956,208.098,202.225,214.629,224.953
