Problem size,Base_CUDA-block_64 (raw),Base_CUDA-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-block_64 (raw),RAJA_CUDA-block_64 (smoothed),Base_CUDA-block_64 (raw B/W),Base_CUDA-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-block_64 (raw B/W),RAJA_CUDA-block_64 (smoothed B/W)
729,31.9709,163.533,11.2564,11.5777,31.8483,162.29,15.994,78.6741,5.63123,5.57301,15.9327,78.0764
3375,163.533,288.13599999999997,11.5841,11.5567,162.29,290.451,78.6741,137.17105,5.57301,5.530835,78.0764,138.26420000000002
9261,412.739,412.739,11.5777,11.5777,418.612,418.612,195.668,195.668,5.48866,5.50448,198.452,198.452
19683,727.574,727.574,11.5357,11.5777,722.443,722.443,342.273,342.273,5.42675,5.48866,339.859,339.859
35937,1053.65,1053.65,11.7567,11.5777,1051.09,1051.09,493.318,493.318,5.50448,5.48866,492.121,492.121
68921,1386.0,1386.0,11.4143,11.5357,1375.17,1375.17,646.287,646.287,5.32245,5.42675,641.236,641.236
132651,1621.29,1621.29,11.8115,11.4143,1628.39,1628.39,753.564,753.564,5.48991,5.32245,756.865,756.865
250047,1701.15,1701.15,11.0648,11.2895,1700.82,1700.82,788.718,788.718,5.13006,5.21751,788.566,788.566
531441,1781.14,1781.14,10.0903,11.0648,1779.54,1779.54,823.891,823.891,4.66743,5.13006,823.152,823.152
753571,1845.33,1813.2350000000001,11.2895,10.577549999999999,1844.49,1812.0149999999999,852.829,838.3599999999999,5.21751,4.898745,852.44,837.796
1442897,1852.55,1845.33,9.61689,10.0903,1851.15,1844.49,854.982,852.829,4.43834,4.66743,854.334,852.44
