Problem size,Base_CUDA-direct_64 (raw),Base_CUDA-direct_64 (smoothed),Base_CUDA-runtime_block_stride_loop_64 (raw),Base_CUDA-runtime_block_stride_loop_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_CUDA-cached_block_stride_loop_64 (raw),RAJA_CUDA-cached_block_stride_loop_64 (smoothed),RAJA_CUDA-direct_64 (raw),RAJA_CUDA-direct_64 (smoothed),RAJA_CUDA-runtime_block_stride_loop_64 (raw),RAJA_CUDA-runtime_block_stride_loop_64 (smoothed),Base_CUDA-direct_64 (raw B/W),Base_CUDA-direct_64 (smoothed B/W),Base_CUDA-runtime_block_stride_loop_64 (raw B/W),Base_CUDA-runtime_block_stride_loop_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_CUDA-cached_block_stride_loop_64 (raw B/W),RAJA_CUDA-cached_block_stride_loop_64 (smoothed B/W),RAJA_CUDA-direct_64 (raw B/W),RAJA_CUDA-direct_64 (smoothed B/W),RAJA_CUDA-runtime_block_stride_loop_64 (raw B/W),RAJA_CUDA-runtime_block_stride_loop_64 (smoothed B/W)
5376,33.9294,133.032,20.8302,82.6628,12.7342,13.0295,21.9138,85.7661,35.8586,136.71,22.0878,86.0997,10.3695,40.5998,6.36613,25.2277,3.89184,3.97645,6.69729,26.1748,10.9591,41.7224,6.75047,26.2766
21312,133.032,327.4035,82.6628,199.2609,13.0295,13.2263,85.7661,208.49005,136.71,341.67,86.0997,209.29534999999998,40.5998,99.89089999999999,25.2277,60.7947,3.97645,4.03578,26.1748,63.610400000000006,41.7224,104.24369999999999,26.2766,63.856300000000005
85056,521.775,521.775,315.859,315.859,13.4231,13.3154,331.214,331.214,546.63,546.63,332.491,332.491,159.182,159.182,96.3617,96.3617,4.09511,4.06186,101.046,101.046,166.765,166.765,101.436,101.436
169920,915.812,915.812,586.117,586.117,13.4656,13.3154,611.976,611.976,956.187,956.187,613.788,613.788,279.378,279.378,178.801,178.801,4.1078,4.06186,186.69,186.69,291.695,291.695,187.242,187.242
339840,1410.14,1410.14,997.613,997.613,13.3154,13.4231,1024.74,1024.74,1462.13,1462.13,1024.86,1024.86,430.166,430.166,304.323,304.323,4.06186,4.09511,312.599,312.599,446.023,446.023,312.635,312.635
679680,1863.74,1863.74,1247.03,1247.03,13.2606,13.3868,1245.9,1245.9,1828.99,1828.99,1244.51,1244.51,568.529,568.529,380.403,380.403,4.04509,4.08355,380.057,380.057,557.927,557.927,379.635,379.635
1359360,2232.74,2232.74,1503.67,1503.67,13.5939,13.3154,1488.66,1488.66,2206.04,2206.04,1487.81,1487.81,681.084,681.084,458.687,458.687,4.14675,4.06186,454.106,454.106,672.94,672.94,453.847,453.847
2718720,2391.14,2391.14,1639.87,1639.87,13.3868,13.2606,1603.02,1603.02,2375.81,2375.81,1606.18,1606.18,729.4,729.4,500.232,500.232,4.08355,4.04509,488.989,488.989,724.725,724.725,489.954,489.954
5437248,2486.35,2486.35,1709.46,1709.46,12.2106,12.2797,1613.81,1613.81,2456.97,2456.97,1614.83,1614.83,758.443,758.443,521.457,521.457,3.72476,3.74583,492.28,492.28,749.481,749.481,492.59,492.59
7964736,2546.27,2516.31,1748.18,1728.8200000000002,12.2797,12.245149999999999,1647.75,1630.78,2515.47,2486.22,1648.29,1631.56,776.721,767.582,533.27,527.3634999999999,3.74583,3.735295,502.632,497.456,767.326,758.4035,502.798,497.69399999999996
15929280,2613.91,2546.27,1793.76,1748.18,12.085,12.2106,1686.48,1647.75,2585.31,2515.47,1687.86,1648.29,797.352,776.721,547.173,533.27,3.68644,3.72476,514.449,502.632,788.629,767.326,514.867,502.798
