Problem size,Base_CUDA-block_256 (raw),Base_CUDA-block_256 (smoothed),RAJA_CUDA-block_256 (raw),RAJA_CUDA-block_256 (smoothed),Base_CUDA-block_256 (raw B/W),Base_CUDA-block_256 (smoothed B/W),RAJA_CUDA-block_256 (raw B/W),RAJA_CUDA-block_256 (smoothed B/W)
1000,3.20407,18.444,3.26767,18.6227,12.3658,66.4525,12.6112,67.0962
5832,18.444,48.3483,18.6227,48.5913,66.4525,169.48425,67.0962,170.3411
27000,78.2526,78.2526,78.5599,78.5599,272.516,272.516,273.586,273.586
54872,126.436,126.436,125.824,125.824,435.641,435.641,433.533,433.533
117649,181.358,181.358,181.605,181.605,619.304,619.304,620.148,620.148
238328,212.935,212.935,214.366,214.366,722.441,722.441,727.296,727.296
493039,246.098,246.098,244.63,244.63,830.593,830.593,825.636,825.636
1000000,267.431,260.048,267.277,260.048,898.981,871.365,898.461,871.365
2048383,260.048,263.948,260.048,264.012,871.365,883.199,871.365,883.413
2985984,263.948,265.68949999999995,264.012,265.6445,883.199,891.0899999999999,883.413,890.937
6028568,273.372,263.948,273.42,264.012,912.737,883.199,912.897,883.413
