Problem size,Base_CUDA-atomic_direct_256,Base_CUDA-atomic_occgs_256,Base_Seq-default,RAJA_CUDA-atomic_direct_256,RAJA_CUDA-atomic_occgs_256
99995,0.0844437,0.0849038,0.467413,0.08231,0.0805395
199995,0.168376,0.168555,0.465023,0.164063,0.161374
399995,0.337191,0.338056,0.466271,0.326683,0.321482
799995,0.674012,0.675501,0.466002,0.655172,0.643515
1599995,1.35257,1.34734,0.454468,1.31265,1.28413
3199995,2.79702,2.69914,0.428434,2.74126,2.67559
4687495,4.08824,3.9473,0.406664,4.01274,3.92618
9374995,8.20238,7.89413,0.395046,8.02441,7.7991
12499995,10.9657,10.5733,0.399946,10.9321,10.4127
15624995,13.9706,13.2005,0.395117,13.729,12.9928
18749995,16.7769,15.7094,0.401372,16.721,15.6462
