Problem size,Base_CUDA-blkatm_direct_256,Base_CUDA-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_CUDA-blkatm_direct_256,RAJA_CUDA-blkatm_occgs_256,RAJA_CUDA-blkdev_direct_256,RAJA_CUDA-blkdev_direct_new_256,RAJA_CUDA-blkdev_occgs_256,RAJA_CUDA-blkdev_occgs_new_256
100000,2.51246,2.52978,6.71082,13.9127,7.01505,2.46425,2.39066,103.558,75.9507,102.736,94.4849
200000,3.795695,3.78521,6.715195,13.8886,7.010975,3.738835,3.5905950000000004,124.50550000000001,102.16735,153.1405,139.52595
400000,5.07893,5.04064,6.71082,13.8645,7.0069,5.01342,4.79053,145.453,128.384,203.545,184.567
800000,10.2266,10.0696,6.69086,13.7919,6.97953,10.1306,9.6226,181.31,182.255,401.047,360.348
1600000,20.7473,20.1229,6.59678,12.3329,6.74481,20.4721,20.222,199.728,226.96,743.831,677.05
3200000,41.6873,40.3235,5.88288,10.7532,6.05561,41.8405,39.8752,199.728,246.047,1057.18,994.144
4687500,62.3578,58.8472,5.88288,9.63741,5.83336,62.5251,58.897,199.728,253.014,1333.73,1258.16
9375000,131.759,117.655,5.88288,9.42505,5.83336,133.842,117.597,194.678,268.242,1828.09,1609.17
12500000,183.904,156.884,6.57882,9.37161,5.83336,179.502,155.879,193.53,273.398,2031.56,1965.21
15625000,252.5505,233.382,6.585775,9.321555,5.881304999999999,189.76,175.20749999999998,192.947,273.901,2107.495,2039.305
18750000,321.197,309.88,6.59273,9.37161,5.92925,200.018,194.536,192.364,274.404,2183.43,2113.4
