Problem size,Base_CUDA-direct_1024,Base_Seq-direct,RAJA_CUDA-direct_1024,RAJA_CUDA-funcptr_1024,RAJA_CUDA-virtfunc_1024
42875,27.8679,37.5249,24.3736,22.4841,22.6106
91125,38.7235,35.4562,35.0238,32.7541,32.4712
205379,51.5063,25.7731,40.2678,43.7553,43.5118
421875,60.5788,19.5101,58.8854,55.7691,55.5149
884736,78.1177,15.2354,74.6275,69.6403,70.7258
1860867,73.5342,14.1839,75.5354,72.6788,72.5391
2744000,88.3422,13.453,87.001,82.5619,82.1592
5639752,83.8245,11.488,84.1051,79.0234,78.0234
7645373,83.5172,11.4005,83.7469,79.2586,78.8235
9528128,93.1066,10.815,93.3876,87.1422,87.6568
11543176,83.9146,8.71324,83.4915,78.9519,78.465
