Kernel,Sat Problem Size,Sat GFLOP/s,Sat B/W (GiB per sec.)
Basic_REDUCE_STRUCT-Base_Seq-default,100000.0,1.88462,14.0414
Basic_REDUCE_STRUCT-Base_Seq-kahan,100000.0,0.945023,7.0409
Basic_REDUCE_STRUCT-Base_Seq-cascade,100000.0,0.903853,6.73416
Basic_REDUCE_STRUCT-Base_CUDA-blkatm_direct_256,18750000.0,43.1103,321.197
Basic_REDUCE_STRUCT-Base_CUDA-blkatm_occgs_256,18750000.0,47.2183,351.804
Basic_REDUCE_STRUCT-RAJA_CUDA-blkatm_direct_256,15625000.0,26.846,200.018
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_direct_256,800000.0,24.3351,181.31
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_direct_new_256,4687500.0,33.959,253.014
Basic_REDUCE_STRUCT-RAJA_CUDA-blkatm_occgs_256,15625000.0,26.1101,194.536
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_occgs_256,12500000.0,272.671,2031.56
Basic_REDUCE_STRUCT-RAJA_CUDA-blkdev_occgs_new_256,12500000.0,263.766,1965.21
