Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_CONVECTION3DPA,Base_Seq,default,702, PASSED     ,5.90584e-06,8.99998,16.2141,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,702, PASSED     ,4.0634e-06,13.0808,23.566,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,702, PASSED     ,4.12986e-06,12.8703,23.1867,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,702459, PASSED     ,0.00632911,8.36122,15.1397,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1024-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,702459, PASSED     ,3.85625e-05,1372.29,2484.81,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1024-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,702459, PASSED     ,3.97062e-05,1332.77,2413.24,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1024-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,87804, PASSED     ,0.000769192,8.59976,15.571,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_128-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,87804, PASSED     ,7.32564e-06,902.974,1634.96,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_128-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,87804, PASSED     ,7.81286e-06,846.664,1533.0,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_128-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,1028970, PASSED     ,0.0111434,6.95626,12.5957,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1500-kernel-run-data.csv,Seq,Base_Seq-default
Apps_CONVECTION3DPA,Base_CUDA,block_64,1028970, PASSED     ,5.42286e-05,1429.44,2588.29,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1500-kernel-run-data.csv,CUDA,Base_CUDA-block_64
Apps_CONVECTION3DPA,RAJA_CUDA,block_64,1028970, PASSED     ,5.58236e-05,1388.59,2514.33,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_1500-kernel-run-data.csv,CUDA,RAJA_CUDA-block_64
Apps_CONVECTION3DPA,Base_Seq,default,10989, PASSED     ,8.42174e-05,9.833,17.799,build_lc_toss4-mvapich2-2.3.7-nvcc-12.9.1-90-gcc-10.3.1/RPBenchmark_H100_tier2/CONVECTION3DPA_factor_16-kernel-run-data.csv,Seq,Base_Seq-default
