Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,6.82688,0.0879186,5.98395,3.20441
389120,12.8137,0.0882862,11.4439,5.63946
778240,23.3652,0.0879253,20.8792,5.25612
1556480,26.2855,0.0877564,27.2853,6.76388
3108864,36.5373,0.0873663,42.5442,7.33737
6213632,33.0333,0.0874635,41.1283,7.48462
9101312,35.9133,0.0875556,45.1167,7.3024
12423168,40.8521,0.08774,49.0714,7.69642
18198528,38.8189,0.0873937,48.8683,7.70027
24260608,39.5485,0.087801,50.085,7.77038
