Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
196608,11.6817,0.0801596,10.4329,4.79189
389120,16.49165,0.08015359999999999,14.734,4.966565
778240,21.3016,0.0801476,19.0351,5.14124
1556480,23.9642,0.0800066,24.8758,6.16656
3108864,30.1164,0.0798244,37.4966,6.65759
6213632,32.7421,0.0798244,38.7873,6.68945
9101312,33.3109,0.0797404,41.1328,6.82371
12423168,35.3912,0.0798244,44.5533,7.01683
18198528,35.7238,0.07990844999999999,44.6458,7.018585
24260608,36.0564,0.0799925,44.7383,7.02034
