Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning,Smoothed Mean flops (gigaFLOP per sec.),Smoothed Bandwidth (GiB per sec.)
Apps_DIFFUSION3DPA,Base_HIP,block_64,405, PASSED     ,3.53342e-06,14.7581,22.0707,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64,83.5245,55.7088
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,405, PASSED     ,3.06082e-06,17.0368,25.4785,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64,95.0092,63.3687
Apps_DIFFUSION3DPA,Base_HIP,block_64,394524, PASSED     ,0.000147809,342.495,513.96,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64,567.1880000000001,377.9675
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,394524, PASSED     ,0.000141417,357.975,537.19,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64,592.442,394.79650000000004
Apps_DIFFUSION3DPA,Base_HIP,block_64,49329, PASSED     ,1.69019e-05,374.505,561.981,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64,561.981,374.505
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,49329, PASSED     ,1.59317e-05,397.312,596.205,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64,596.205,397.312
Apps_DIFFUSION3DPA,Base_HIP,block_64,577935, PASSED     ,0.000225668,328.617,493.135,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64,513.96,342.495
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,577935, PASSED     ,0.000218871,338.821,508.447,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64,537.19,357.975
Apps_DIFFUSION3DPA,Base_HIP,block_64,6183, PASSED     ,4.77864e-06,166.063,249.144,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64,249.144,166.063
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,6183, PASSED     ,4.44162e-06,178.663,268.049,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64,268.049,178.663
Apps_DIFFUSION3DPA,Base_HIP,block_64,98631, PASSED     ,3.06116e-05,413.44,620.416,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,HIP,Base_HIP-block_64,561.981,374.505
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,98631, PASSED     ,2.93224e-05,431.618,647.694,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_256-kernel-run-data.csv,HIP,RAJA_HIP-block_64,596.205,397.312
Apps_DIFFUSION3DPA,Base_HIP,block_64,12339, PASSED     ,6.88384e-06,230.026,345.148,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_32-kernel-run-data.csv,HIP,Base_HIP-block_64,345.148,230.026
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,12339, PASSED     ,6.52344e-06,242.735,364.216,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_32-kernel-run-data.csv,HIP,RAJA_HIP-block_64,364.216,242.735
Apps_DIFFUSION3DPA,Base_HIP,block_64,1566, PASSED     ,3.61022e-06,55.7088,83.5245,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_4-kernel-run-data.csv,HIP,Base_HIP-block_64,166.33425,110.88589999999999
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1566, PASSED     ,3.17382e-06,63.3687,95.0092,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_4-kernel-run-data.csv,HIP,RAJA_HIP-block_64,181.5291,121.01585
Apps_DIFFUSION3DPA,Base_HIP,block_64,197262, PASSED     ,5.75216e-05,440.043,660.341,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_512-kernel-run-data.csv,HIP,Base_HIP-block_64,561.981,374.505
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,197262, PASSED     ,5.552e-05,455.907,684.148,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_512-kernel-run-data.csv,HIP,RAJA_HIP-block_64,596.205,397.312
Apps_DIFFUSION3DPA,Base_HIP,block_64,24678, PASSED     ,9.37086e-06,337.936,507.092,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_64-kernel-run-data.csv,HIP,Base_HIP-block_64,507.092,337.936
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,24678, PASSED     ,9.16146e-06,345.66,518.682,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/DIFFUSION3DPA_factor_64-kernel-run-data.csv,HIP,RAJA_HIP-block_64,518.682,345.66
Apps_EDGE3D,Base_HIP,block_256,512, PASSED     ,2.60082e-05,1.7552,718.412,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_256,3030.82,7.15595
Apps_EDGE3D,RAJA_HIP,block_256,512, PASSED     ,2.43951e-05,1.87127,765.916,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_256,3260.56,7.69838
Apps_EDGE3D,Base_HIP,block_256,1442897, PASSED     ,0.0043497,10.8553,4781.67,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_256,4753.615,10.79665
Apps_EDGE3D,RAJA_HIP,block_256,1442897, PASSED     ,0.00430481,10.9685,4831.53,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4803.51,10.911650000000002
Apps_EDGE3D,Base_HIP,block_256,166375, PASSED     ,0.000587463,10.1944,4460.36,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_256,4460.36,10.227
Apps_EDGE3D,RAJA_HIP,block_256,166375, PASSED     ,0.000585101,10.2356,4478.36,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_256,4563.03,10.5183
Apps_EDGE3D,Base_HIP,block_256,2146689, PASSED     ,0.00641247,10.8305,4774.56,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-CPX/EDGE3D_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_256,4774.56,10.8305
