Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
405,22.0983,83.6826,25.2183,94.1436,14.7766,55.8142,16.8628,62.7914
1566,83.6826,167.47129999999999,94.1436,183.6053,55.8142,111.6436,62.7914,122.39970000000001
6183,251.26,251.26,273.067,273.067,167.473,167.473,182.008,182.008
12339,347.919,347.919,366.794,366.794,231.873,231.873,244.452,244.452
24678,495.369,495.369,521.76,521.76,330.124,330.124,347.711,347.711
49329,559.634,559.634,595.991,595.991,372.94,372.94,397.169,397.169
98631,621.353,559.634,642.195,595.991,414.064,372.94,427.953,397.169
197262,658.899,559.634,688.16,595.991,439.081,372.94,458.58,397.169
394524,505.858,563.6055,528.296,585.2455,337.096,375.58000000000004,352.048,390.0005
577935,484.713,505.858,501.916,528.296,323.005,337.096,334.469,352.048
