Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
512,560.006,2446.5,8.35478,8.35478,776.939,3238.42,1.36819,5.77634,0.0204122,0.0197187,1.8982,7.64611
3375,2446.5,3177.255,8.35162,8.357904999999999,3238.42,3660.56,5.77634,7.41756,0.0197187,0.0195498,7.64611,8.55492
17576,3908.01,3908.01,8.36103,8.35954,4082.7,4082.7,9.05878,9.05878,0.0193809,0.0193809,9.46373,9.46373
35937,4131.92,4131.92,8.36724,8.36103,4701.17,4388.43,9.52453,9.52453,0.0192874,0.0192874,10.8367,10.0301
79507,4346.65,4346.65,8.35954,8.36724,4462.53,4462.53,9.97035,9.97035,0.0191751,0.0191751,10.2362,10.2362
166375,4380.49,4380.49,8.37593,8.37013,4388.43,4595.03,10.0119,10.0119,0.0191437,0.0191437,10.0301,10.4729
343000,4527.7,4527.7,8.37984,8.37049,4595.03,4595.03,10.3195,10.3195,0.0190992,0.0190992,10.4729,10.4729
704969,4676.26,4676.26,8.37013,8.37049,4732.87,4732.87,10.6345,10.6345,0.019035,0.019035,10.7633,10.7633
1442897,4730.76,4703.51,8.37049,8.37031,4770.69,4751.78,10.7398,10.687149999999999,0.0190027,0.01901885,10.8304,10.79685
2146689,4736.46,4730.76,8.36932,8.37013,4780.67,4770.69,10.744,10.7398,0.0189847,0.0190027,10.8443,10.8304
