Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
417,1.5946,6.43402,1.87416,10.2196,5.83232,23.5328,6.85484,37.3788
1667,6.43402,16.354210000000002,10.2196,25.4098,23.5328,59.816500000000005,37.3788,92.93790000000001
6667,26.2744,26.2744,40.6,40.6,96.1002,96.1002,148.497,148.497
13334,53.6891,53.6891,84.5921,84.5921,196.371,196.371,309.401,309.401
26667,109.706,109.706,159.117,158.499,401.255,401.255,581.98,579.718
53334,215.83,155.589,237.436,158.499,789.411,569.077,868.437,579.718
106667,159.818,159.818,158.499,159.117,584.542,584.542,579.718,581.98
213334,155.589,164.534,156.587,163.236,569.077,601.794,572.728,597.046
426667,164.534,162.176,163.236,160.8675,601.794,593.168,597.046,588.3820000000001
625000,165.484,164.534,165.041,163.236,605.268,601.794,603.648,597.046
