Problem size,Base_HIP-compile_time_block_stride_loop_64 (raw),Base_HIP-compile_time_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-compile_time_block_stride_loop_64 (raw),RAJA_HIP-compile_time_block_stride_loop_64 (smoothed),Base_HIP-compile_time_block_stride_loop_64 (raw B/W),Base_HIP-compile_time_block_stride_loop_64 (smoothed B/W),RAJA_HIP-cached_block_stride_loop_64 (raw B/W),RAJA_HIP-cached_block_stride_loop_64 (smoothed B/W),RAJA_HIP-compile_time_block_stride_loop_64 (raw B/W),RAJA_HIP-compile_time_block_stride_loop_64 (smoothed B/W)
196608,6.23867,11.717,5.50434,10.7275,2.88741,4.8394,6.84356,12.8524,6.03804,11.7671,3.16737,5.30823
389120,11.717,17.1546,10.7275,14.9825,5.14941,4.994405,12.8524,18.81665,11.7671,16.43415,5.64841,5.47832
778240,22.5922,22.5922,19.2375,19.2375,4.8394,5.14941,24.7809,24.7809,21.1012,21.1012,5.30823,5.64841
1556480,24.4268,24.4268,25.1764,25.1764,6.28118,6.28118,26.7929,26.7929,27.6151,27.6151,6.8896,6.8896
3108864,33.4373,29.6884,40.4318,40.4318,7.14912,6.4295,36.676,32.5639,44.3479,44.3479,7.84157,7.05221
6213632,29.6884,31.7338,41.1393,40.5111,6.50306,6.50306,32.5639,34.8073,45.1238,44.4348,7.13291,7.13291
9101312,31.7338,33.4373,40.5111,41.1393,6.4295,6.56586,34.8073,36.676,44.4348,45.1238,7.05221,7.20178
12423168,34.9078,34.9078,44.8124,44.8124,6.56586,6.56586,38.2887,38.2887,49.1526,49.1526,7.20178,7.20178
18198528,35.6828,35.2953,46.674,45.596999999999994,6.8915,6.72868,39.1387,38.7137,51.1945,50.013149999999996,7.55896,7.38037
24260608,36.0235,35.6828,46.3816,46.3816,6.96657,6.8915,39.5124,39.1387,50.8737,50.8737,7.64129,7.55896
