Problem size,Base_HIP-direct_64 (raw),Base_HIP-direct_64 (smoothed),Base_HIP-runtime_block_stride_loop_64 (raw),Base_HIP-runtime_block_stride_loop_64 (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-direct_64 (raw),RAJA_HIP-direct_64 (smoothed),RAJA_HIP-runtime_block_stride_loop_64 (raw),RAJA_HIP-runtime_block_stride_loop_64 (smoothed),Base_HIP-direct_64 (raw B/W),Base_HIP-direct_64 (smoothed B/W),Base_HIP-runtime_block_stride_loop_64 (raw B/W),Base_HIP-runtime_block_stride_loop_64 (smoothed B/W),RAJA_HIP-cached_block_stride_loop_64 (raw B/W),RAJA_HIP-cached_block_stride_loop_64 (smoothed B/W),RAJA_HIP-direct_64 (raw B/W),RAJA_HIP-direct_64 (smoothed B/W),RAJA_HIP-runtime_block_stride_loop_64 (raw B/W),RAJA_HIP-runtime_block_stride_loop_64 (smoothed B/W)
5376,40.7123,148.48,19.1254,72.5315,20.6636,78.9443,40.1057,144.522,14.9903,57.1437,12.4425,45.3142,5.8451,22.1357,6.31522,24.0928,12.2571,44.1065,4.58135,17.4396
21312,148.48,217.03249999999997,72.5315,134.89274999999998,78.9443,150.87765000000002,144.522,214.2775,57.1437,117.00085,45.3142,66.22,22.1357,41.15675,24.0928,46.0338,44.1065,65.37944999999999,17.4396,35.697649999999996
85056,285.585,285.585,197.254,197.254,222.811,222.811,284.033,284.033,176.858,176.858,87.1258,87.1258,60.1778,60.1778,67.9748,67.9748,86.6524,86.6524,53.9557,53.9557
169920,436.325,436.325,315.984,315.984,383.814,383.814,431.47,431.47,308.498,308.182,133.105,133.105,96.3942,96.3942,117.086,117.086,131.624,131.624,94.1104,94.01
339840,569.794,569.794,430.735,428.786,457.706,440.619,567.866,567.866,353.292,308.498,173.816,173.816,131.396,130.799,139.624,134.409,173.228,173.228,107.772,94.1104
679680,598.63,572.139,429.548,429.548,440.619,446.575,591.351,567.866,308.182,308.987,182.61,174.527,131.032,131.032,134.409,136.225,180.39,173.228,94.01,94.2548
1359360,581.153,572.139,428.786,430.735,446.575,446.575,586.172,567.866,308.987,308.987,177.277,174.527,130.799,131.396,136.225,136.225,178.808,173.228,94.2548,94.2548
2718720,572.139,572.139,437.879,430.463,456.897,444.654,562.164,562.164,317.566,308.182,174.527,174.527,133.572,131.309,139.373,135.638,171.484,171.484,96.8712,94.01
5437248,537.258,556.2004999999999,432.97,431.7165,443.781,445.6145,535.509,548.8365,280.354,294.6705,163.887,169.665,132.074,131.69150000000002,135.372,135.9315,163.353,167.4185,85.52,89.8874
7964736,540.262,540.262,430.463,432.97,444.654,444.654,534.465,535.509,275.986,280.354,164.803,164.803,131.309,132.074,135.638,135.638,163.034,163.353,84.1875,85.52
