Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
1000,3.37014,16.8863,1.39273,1.3788,4.55118,17.0095,13.0067,60.8403,5.37512,4.96773,17.5648,61.284
5832,16.8863,23.626649999999998,1.3788,1.3678249999999998,17.0095,24.00115,60.8403,83.29665,4.96773,4.846500000000001,61.284,84.6085
27000,30.367,30.367,1.35685,1.35685,30.9928,30.9928,105.753,105.753,4.72527,4.72527,107.933,107.933
54872,33.1336,33.1336,1.34679,1.34679,33.1735,33.1735,114.164,114.164,4.64042,4.64042,114.301,114.301
117649,35.2651,35.2651,1.34669,1.34669,35.5144,35.5144,120.424,120.424,4.59871,4.59871,121.275,121.275
238328,36.2331,35.8999,1.34042,1.34257,36.4398,35.9665,122.931,121.164,4.54776,4.54776,123.632,121.388
493039,35.8999,36.2331,1.34257,1.34042,35.9665,36.4398,121.164,122.931,4.53122,4.53122,121.388,123.014
1000000,36.5871,36.5871,1.3245,1.3266,36.5946,36.5946,122.989,122.989,4.45236,4.45236,123.014,123.632
2048383,36.9741,36.7806,1.3266,1.32555,37.0132,36.7825,123.892,123.3965,4.44515,4.448755,124.023,123.3605
2985984,36.9993,36.9741,1.32274,1.3245,36.9704,36.9704,123.804,123.804,4.42601,4.44515,123.707,123.707
