Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
512,27.7396,131.806,43.2027,167.646,12.4382,57.1143,19.3717,72.6444
3375,131.806,284.1395,167.646,310.579,57.1143,121.39914999999999,72.6444,132.7887
17576,436.473,436.473,453.512,453.512,185.684,185.684,192.933,192.933
35937,597.371,597.371,612.346,612.346,252.719,252.719,259.054,259.054
79507,650.195,611.078,653.732,618.778,273.717,256.326,275.206,259.054
166375,611.078,620.241,625.286,625.286,256.326,259.443,262.285,262.285
343000,620.241,620.241,618.778,625.286,259.443,259.443,258.831,262.285
704969,639.192,611.078,640.787,618.778,266.78,256.326,267.445,258.831
1442897,589.392,604.8165,589.685,604.2315,245.567,252.505,245.689,252.26
2146689,578.959,589.392,578.079,589.685,241.026,245.567,240.66,245.689
