Problem size,Base_HIP-compile_time_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-compile_time_block_stride_loop_64
389120,27.0896,0.0884992,24.0681,13.707
778240,38.14885,0.0884983,34.256299999999996,18.9601
1556480,49.2081,0.0884974,44.4445,24.2132
3108864,88.7745,0.0881212,80.9145,38.4203
6213632,177.28,0.0881212,144.956,40.0775
12423168,177.28,0.0881212,184.274,40.7463
18198528,186.5,0.0881316,194.332,42.5068
24842240,200.404,0.0881932,234.919,42.6827
36392960,203.957,0.0882529,246.152,43.0718
48521216,203.957,0.0882529,246.152,43.0718
60649472,205.3115,0.08822305,258.0765,43.231300000000005
72781824,206.666,0.0881932,270.001,43.0718
