Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,21.6029,10.9679,3.35254,12.0124,21.4703,8.72273
42624,84.0179,43.2082,3.37636,47.2058,83.2365,34.3618
169920,283.992,153.589,3.31818,175.128,283.224,128.171
339840,410.34,273.05,3.2903,305.431,406.945,231.455
679680,501.128,356.704,3.31409,449.08,499.533,354.237
1359360,801.461,618.729,3.32293,640.111,795.597,461.21
2718720,953.827,723.994,3.31033,757.849,948.432,525.343
5437248,1039.22,778.511,3.31363,804.273,1040.01,544.659
10874496,1015.03,768.417,3.31531,794.696,1023.59,562.617
15929280,1020.65,792.915,3.32111,827.198,1002.54,564.531
21748800,1009.37,804.051,3.31904,839.303,996.938,577.583
31858560,982.439,779.81,3.31785,809.578,970.163,502.972
42477888,990.035,777.689,3.3134,809.028,972.117,494.684
