Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,Base_Seq-default,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,84.0179,43.2082,3.35254,47.2058,83.2365,34.3618
42624,184.00495,98.3986,3.3353599999999997,111.1669,183.23025,81.2664
169920,283.992,153.589,3.31818,175.128,283.224,128.171
339840,410.34,273.05,3.31818,305.431,406.945,231.455
679680,501.128,356.704,3.31409,449.08,499.533,354.237
1359360,801.461,618.729,3.31363,640.111,795.597,461.21
2718720,953.827,723.994,3.31409,757.849,948.432,525.343
5437248,1015.03,768.417,3.31531,794.696,1002.54,544.659
10874496,1015.03,778.511,3.31531,804.273,1002.54,562.617
15929280,1015.03,779.81,3.31785,809.578,1002.54,562.617
21748800,1009.37,779.81,3.31785,809.578,996.938,562.617
31858560,999.7025,786.3625,3.318445,818.3879999999999,984.5274999999999,533.7515
42477888,990.035,779.81,3.31785,809.578,972.117,502.972
