Problem size,Base_HIP-direct_64,Base_HIP-runtime_block_stride_loop_64,RAJA_HIP-cached_block_stride_loop_64,RAJA_HIP-direct_64,RAJA_HIP-runtime_block_stride_loop_64
10752,70.5657,35.8076,37.9661,69.5496,28.5915
42624,277.136,140.403,150.232,272.623,113.098
169920,934.183,531.37,568.973,926.772,424.018
339840,1347.57,892.292,976.415,1328.26,758.183
679680,1645.37,1175.87,1449.79,1637.08,1168.07
1359360,2629.56,2033.68,2086.6,2618.15,1533.95
2718720,3147.1,2346.41,2351.24,3119.09,1675.91
5437248,3320.68,2373.67,2473.96,3242.55,1737.33
10874496,3214.03,2408.48,2512.21,3166.92,1760.04
15929280,3223.53,2502.76,2607.23,3187.54,1798.56
21748800,3184.64,2454.27,2539.32,3176.37,1668.12
31858560,3177.31,2490.97,2586.67,3129.86,1654.49
42477888,3192.78,2465.7,2562.46,3158.45,1590.63
