Kernel,Variant,Tuning,Problem size,Checksum,Mean time per rep (sec.),Bandwidth (GiB per sec.),Mean gFlops (gigaFLOP per sec.),__source_file__,Backend,Variant_Tuning
Apps_DIFFUSION3DPA,Base_HIP,block_64,783, PASSED     ,4.0008e-06,25.1574,37.6852,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,783, PASSED     ,3.79458e-06,26.5246,39.7333,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,789048, PASSED     ,4.45543e-05,2272.45,3410.12,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,789048, PASSED     ,4.28903e-05,2360.61,3542.42,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1024-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,98631, PASSED     ,9.2108e-06,1374.05,2061.92,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,98631, PASSED     ,9.00058e-06,1406.14,2110.08,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_128-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,1155843, PASSED     ,6.17519e-05,2401.75,3604.16,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,1155843, PASSED     ,6.03463e-05,2457.69,3688.11,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_1500-kernel-run-data.csv,HIP,RAJA_HIP-block_64
Apps_DIFFUSION3DPA,Base_HIP,block_64,12339, PASSED     ,4.246e-06,372.931,559.572,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,Base_HIP-block_64
Apps_DIFFUSION3DPA,RAJA_HIP,block_64,12339, PASSED     ,4.0312e-06,392.802,589.389,build_lc_toss4-cray-mpich-9.0.1-amdclang-6.4.3-gfx942/RPBenchmark_MI300A_tier1-SPX/DIFFUSION3DPA_factor_16-kernel-run-data.csv,HIP,RAJA_HIP-block_64
