Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
783,38.2122,148.572,9.8788,9.8788,39.9095,155.076,25.5093,99.0499,6.59477,6.59477,26.6423,103.387
3105,148.572,366.7875,9.97987,9.600495,155.076,374.767,99.0499,244.46495,6.65339,6.40363,103.387,249.784
12339,585.003,585.003,9.2631,9.34422,594.458,594.458,389.88,389.88,6.17346,6.227,396.181,396.181
24678,1041.98,1041.98,9.32219,9.32219,1079.58,1079.58,694.399,694.399,6.21249,6.21249,719.451,719.451
49329,1553.62,1553.62,9.34422,9.2631,1557.96,1557.96,1035.33,1035.33,6.227,6.17346,1038.22,1038.22
98631,2030.39,2030.39,9.18884,9.18884,2104.73,2104.73,1353.03,1353.03,6.12336,6.12336,1402.58,1402.58
197262,2763.42,2763.42,6.63667,6.63667,2865.87,2865.87,1841.5,1841.5,4.42259,4.42259,1909.78,1909.78
394524,3330.12,3330.12,2.54663,4.39209,3411.32,3411.32,2219.14,2219.14,1.69703,2.92682,2273.25,2273.25
789048,3594.9,3357.58,4.36735,4.39209,3702.87,3488.83,2395.58,2237.43,2.91033,2.92682,2467.53,2324.9
1155843,3764.48,3357.58,4.39209,4.39209,3824.22,3488.83,2508.59,2237.43,2.92682,2.92682,2548.4,2324.9
1578096,3357.58,3357.58,4.5304,4.5304,3488.83,3488.83,2237.43,2237.43,3.01898,3.01898,2324.9,2324.9
2311659,3037.75,3197.665,4.67993,4.5915300000000006,3186.78,3337.8050000000003,2024.31,2130.87,3.11862,3.0597149999999997,2123.62,2224.26
3082212,2895.18,3037.75,4.65266,4.65266,3025.93,3186.78,1929.3,2024.31,3.10045,3.10045,2016.42,2123.62
