Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
834,3.03638,15.6491,3.83718,15.3408,11.1057,57.2374,14.0347,56.1099
3334,15.6491,38.5355,15.3408,38.41445,57.2374,140.9457,56.1099,140.50295
13334,61.4219,61.4219,61.4881,61.4881,224.654,224.654,224.896,224.896
26667,119.499,119.499,120.275,120.275,437.074,437.074,439.914,439.914
53334,234.877,234.877,234.053,234.053,859.077,859.077,856.061,856.061
106667,415.102,415.102,417.442,417.442,1518.26,1518.26,1526.82,1526.82
213334,608.934,608.934,630.657,630.657,2227.21,2227.21,2306.66,2306.66
426667,750.47,750.47,724.374,724.374,2744.89,2744.89,2649.44,2649.44
853334,788.299,788.299,786.307,786.307,2883.25,2883.25,2875.96,2875.96
1250000,847.235,847.235,844.541,844.541,3098.81,3098.81,3088.96,3088.96
1706667,884.586,884.586,884.068,884.068,3235.42,3235.42,3233.53,3233.53
2500000,923.439,904.0125,915.895,899.9815,3377.53,3306.4750000000004,3349.94,3291.735
3333334,940.801,923.439,943.914,915.895,3441.03,3377.53,3452.42,3349.94
