Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
31104,228.557,372.233,3.01734,3.16205,242.203,408.902,41.0451,68.6976,0.541864,0.592812,43.4957,75.465
73728,372.233,456.2925,3.32161,3.089695,408.902,499.12149999999997,68.6976,85.0008,0.613022,0.567338,75.465,92.9765
144000,540.352,540.352,3.16205,3.01734,589.341,589.341,101.304,101.304,0.592812,0.541864,110.488,110.488
248832,739.04,739.04,2.75328,2.75328,780.256,780.256,139.974,139.974,0.521471,0.521471,147.78,147.78
395136,902.329,902.329,2.37951,2.37951,952.505,952.505,172.13,172.13,0.453919,0.453919,181.701,181.701
839808,1065.19,986.771,2.32824,2.32824,1151.79,1003.73,205.115,191.136,0.448329,0.448329,221.79,194.421
1152000,1083.01,1065.19,2.17561,2.26231,1141.5,1141.5,209.224,205.115,0.420301,0.438205,220.524,220.524
1533312,986.771,1065.19,2.26231,2.22341,1003.73,1141.5,191.136,206.848,0.438205,0.432411,194.421,220.524
2530944,1106.9,1061.91,2.22341,2.22007,1170.72,1072.33,215.271,206.848,0.432411,0.432411,227.684,209.161
3161088,1061.91,1024.31,2.21399,2.22007,1066.55,1066.55,206.848,199.795,0.431259,0.432411,207.751,207.751
3888000,1024.31,1043.1100000000001,2.22007,2.2170300000000003,1072.33,1069.44,199.795,203.32150000000001,0.433031,0.43183499999999997,209.161,208.45600000000002
4718592,1010.91,1024.31,2.10748,2.21399,1043.83,1066.55,197.416,199.795,0.411559,0.431259,203.844,207.751
