Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
2744,39.8433,156.211,4.15467,4.26245,38.6568,151.303,0.499688,1.93552,0.0521051,0.0528136,0.484808,1.87471
10648,156.211,338.07,4.26245,4.290335000000001,151.303,338.2415,1.93552,4.16639,0.0528136,0.0529727,1.87471,4.16829
39304,519.929,519.929,4.31822,4.31311,525.18,525.18,6.39726,6.39726,0.0531318,0.0528441,6.46187,6.46187
74088,558.895,558.895,4.34974,4.31822,558.391,558.391,6.86053,6.86053,0.0533937,0.0530326,6.85435,6.85435
140608,711.076,711.076,4.31311,4.32856,706.757,706.757,8.71209,8.71209,0.0528441,0.0530326,8.65917,8.65917
287496,845.661,845.661,4.33569,4.33569,838.699,838.699,10.3438,10.3438,0.0530326,0.0530326,10.2587,10.2587
551368,855.931,855.931,4.32856,4.33569,855.681,855.681,10.457,10.457,0.0528825,0.0530326,10.454,10.454
1124864,902.675,902.675,4.34562,4.34181,903.073,903.073,11.0168,11.0168,0.0530364,0.0530326,11.0216,11.0216
2197000,923.259,923.259,4.35263,4.34214,905.491,905.491,11.2594,11.2594,0.0530816,0.0529303,11.0427,11.0427
3241792,931.332,923.259,4.34181,4.34214,929.002,922.552,11.3537,11.2594,0.0529303,0.0529303,11.3253,11.2406
4410944,930.082,930.082,4.34214,4.34181,929.419,929.002,11.3355,11.3355,0.0529206,0.0529206,11.3275,11.3253
6434856,921.93,930.707,4.31109,4.336895,922.552,929.2104999999999,11.233,11.3446,0.0525273,0.05284585,11.2406,11.3264
8741816,932.657,930.082,4.33198,4.33198,931.096,929.419,11.3614,11.3355,0.0527711,0.0527711,11.3424,11.3275
