Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
1331,73.0891,289.298,73.3187,286.745,35.8876,138.32,36.0004,137.1
4913,289.298,564.413,286.745,575.7925,138.32,266.6295,137.1,271.9735
19683,839.528,839.528,864.84,864.84,394.939,394.939,406.847,406.847
35937,1255.12,1255.12,1268.27,1268.27,587.648,587.648,593.807,593.807
68921,1835.01,1835.01,1827.61,1827.61,855.661,855.661,852.208,852.208
132651,2408.02,2408.02,2368.18,2368.18,1119.23,1119.23,1100.71,1100.71
250047,2587.22,2587.22,2578.19,2578.19,1199.53,1199.35,1195.35,1195.35
531441,2696.02,2587.22,2667.5,2578.19,1247.08,1199.35,1233.89,1195.35
1030301,2596.96,2587.22,2647.63,2578.19,1199.35,1199.35,1222.75,1195.35
1442897,2475.14,2475.14,2532.95,2532.95,1142.31,1142.31,1169.0,1169.0
2048383,2454.85,2454.85,2461.69,2461.69,1132.24,1132.24,1135.4,1135.4
2924207,2366.74,2410.795,2331.62,2396.6549999999997,1090.99,1111.615,1074.8,1105.1
3869893,2305.69,2366.74,2279.47,2331.62,1062.42,1090.99,1050.34,1074.8
