Problem size,Base_HIP-direct_64 (raw),Base_HIP-direct_64 (smoothed),Base_HIP-runtime_block_stride_loop_64 (raw),Base_HIP-runtime_block_stride_loop_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-cached_block_stride_loop_64 (raw),RAJA_HIP-cached_block_stride_loop_64 (smoothed),RAJA_HIP-direct_64 (raw),RAJA_HIP-direct_64 (smoothed),RAJA_HIP-runtime_block_stride_loop_64 (raw),RAJA_HIP-runtime_block_stride_loop_64 (smoothed),Base_HIP-direct_64 (raw B/W),Base_HIP-direct_64 (smoothed B/W),Base_HIP-runtime_block_stride_loop_64 (raw B/W),Base_HIP-runtime_block_stride_loop_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-cached_block_stride_loop_64 (raw B/W),RAJA_HIP-cached_block_stride_loop_64 (smoothed B/W),RAJA_HIP-direct_64 (raw B/W),RAJA_HIP-direct_64 (smoothed B/W),RAJA_HIP-runtime_block_stride_loop_64 (raw B/W),RAJA_HIP-runtime_block_stride_loop_64 (smoothed B/W)
10752,70.7524,275.365,35.9215,141.613,10.98,10.98,39.3421,154.715,70.3182,272.804,28.5681,112.619,21.6029,84.0179,10.9679,43.2082,3.35254,3.35254,12.0124,47.2058,21.4703,83.2365,8.72273,34.3618
42624,275.365,603.1505,141.613,322.54150000000004,11.0659,10.928550000000001,154.715,364.3965,272.804,600.612,112.619,266.3845,84.0179,184.00495,43.2082,98.3986,3.37636,3.3353599999999997,47.2058,111.1669,83.2365,183.23025,34.3618,81.2664
169920,930.936,930.936,503.47,503.47,10.8771,10.8771,574.078,574.078,928.42,928.42,420.15,420.15,283.992,283.992,153.589,153.589,3.31818,3.31818,175.128,175.128,283.224,283.224,128.171,128.171
339840,1345.15,1345.15,895.096,895.096,10.7861,10.8771,1001.24,1001.24,1334.02,1334.02,758.743,758.743,410.34,410.34,273.05,273.05,3.2903,3.31818,305.431,305.431,406.945,406.945,231.455,231.455
679680,1642.79,1642.79,1169.34,1169.34,10.8642,10.8642,1472.17,1472.17,1637.56,1637.56,1161.26,1161.26,501.128,501.128,356.704,356.704,3.31409,3.31409,449.08,449.08,499.533,499.533,354.237,354.237
1359360,2627.36,2627.36,2028.33,2028.33,10.8933,10.8628,2098.42,2098.42,2608.14,2608.14,1511.95,1511.95,801.461,801.461,618.729,618.729,3.32293,3.31363,640.111,640.111,795.597,795.597,461.21,461.21
2718720,3126.86,3126.86,2373.42,2373.42,10.852,10.8642,2484.4,2484.4,3109.17,3109.17,1722.19,1722.19,953.827,953.827,723.994,723.994,3.31033,3.31409,757.849,757.849,948.432,948.432,525.343,525.343
5437248,3406.81,3327.49,2552.14,2519.05,10.8628,10.8684,2636.6,2605.2,3409.39,3286.56,1785.52,1785.52,1039.22,1015.03,778.511,768.417,3.31363,3.31531,804.273,794.696,1040.01,1002.54,544.659,544.659
10874496,3327.49,3327.49,2519.05,2552.14,10.8684,10.8684,2605.2,2636.6,3355.57,3286.56,1844.39,1844.39,1015.03,1015.03,768.417,778.511,3.31531,3.31531,794.696,804.273,1023.59,1002.54,562.617,562.617
15929280,3345.94,3327.49,2599.36,2556.4,10.8874,10.8767,2711.75,2653.99,3286.56,3286.56,1850.67,1844.39,1020.65,1015.03,792.915,779.81,3.32111,3.31785,827.198,809.578,1002.54,1002.54,564.531,562.617
21748800,3308.95,3308.95,2635.87,2556.4,10.8806,10.8767,2751.43,2653.99,3268.2,3268.2,1893.45,1844.39,1009.37,1009.37,804.051,779.81,3.31904,3.31785,839.303,809.578,996.938,996.938,577.583,562.617
31858560,3220.67,3277.26,2556.4,2577.88,10.8767,10.87865,2653.99,2682.87,3180.43,3227.515,1648.86,1749.7649999999999,982.439,999.7025,779.81,786.3625,3.31785,3.318445,809.578,818.3879999999999,970.163,984.5274999999999,502.972,533.7515
42477888,3245.57,3245.57,2549.45,2556.4,10.8621,10.8767,2652.19,2653.99,3186.83,3186.83,1621.69,1648.86,990.035,990.035,777.689,779.81,3.3134,3.31785,809.028,809.578,972.117,972.117,494.684,502.972
