Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
2744,10.7206,41.7565,1.39555,1.36726,10.1978,42.2464,39.5814,147.687,5.1525,4.83581,37.6512,149.419
12167,41.7565,70.2213,1.36726,1.363135,42.2464,75.8537,147.687,243.85750000000002,4.83581,4.759175000000001,149.419,263.2865
54872,98.6861,98.6861,1.35901,1.35901,109.461,109.461,340.028,340.028,4.68254,4.68254,377.154,377.154
117649,134.196,134.196,1.34747,1.35069,138.233,138.233,458.256,458.256,4.60138,4.60138,472.04,472.04
238328,171.884,171.884,1.35069,1.34747,178.47,178.47,583.165,583.165,4.58258,4.58258,605.51,605.51
493039,187.268,187.268,1.33105,1.33156,189.492,189.492,632.039,632.039,4.49236,4.49236,639.545,639.545
1000000,205.748,205.748,1.33156,1.33143,205.592,205.592,691.63,691.63,4.47608,4.47608,691.105,691.105
2048383,211.352,211.352,1.33143,1.33105,213.032,213.032,708.195,708.195,4.46134,4.46134,713.825,713.825
4096000,219.661,219.661,1.31914,1.33076,220.206,220.206,734.242,734.242,4.40936,4.43953,736.062,736.062
6028568,223.205,223.205,1.3291,1.33076,223.404,223.404,745.24,745.24,4.43761,4.43953,745.905,745.905
8242408,227.384,227.384,1.33076,1.3291,227.759,227.413,758.572,758.572,4.43953,4.43761,759.823,757.981
12167000,227.937,227.6605,1.33286,1.32993,227.413,227.586,759.727,759.1495,4.4425,4.43857,757.981,758.902
16194277,233.328,227.937,1.31766,1.33076,232.921,227.759,777.233,759.727,4.38922,4.43953,775.878,759.823
