Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
1331,72.9195,310.767,16.0597,16.0597,73.1369,303.199,32.0687,133.227,7.06277,6.82946,32.1643,129.982
8000,310.767,607.3785,15.0352,16.1015,303.199,711.6445,133.227,257.83050000000003,6.44564,6.824235,129.982,301.918
35937,903.99,903.99,16.1433,16.1433,1120.09,1120.09,382.434,382.434,6.82946,6.82946,473.854,473.854
79507,1582.67,1582.67,16.1981,16.1981,1811.0,1811.0,666.267,666.267,6.81901,6.81901,762.389,762.389
166375,2429.59,2429.59,16.3297,16.1981,2510.42,2510.42,1019.13,1019.13,6.84974,6.81901,1053.03,1053.03
343000,2960.57,2814.67,16.244,16.1981,2952.54,2794.85,1238.39,1174.76,6.79477,6.79477,1235.03,1166.49
704969,2814.67,2959.36,15.9752,15.9752,2794.85,2943.81,1174.76,1231.28,6.66757,6.66757,1166.49,1224.81
1442897,3249.29,2959.36,15.5485,15.5485,3315.53,2943.81,1353.8,1231.28,6.47818,6.47818,1381.39,1224.81
2985984,2959.36,2959.36,14.9582,15.2428,2943.81,2943.81,1231.28,1231.28,6.22355,6.33519,1224.81,1224.81
4410944,2928.74,2985.54,14.9566,14.9584,2908.28,2949.74,1217.78,1240.84,6.219,6.22355,1209.27,1225.97
6028568,2985.54,2959.36,15.2428,14.9582,2949.74,2943.81,1240.84,1231.28,6.33519,6.219,1225.97,1224.81
8869743,3272.42,2957.14,14.9584,14.9575,3287.05,2929.01,1359.41,1229.31,6.21392,6.21646,1365.48,1217.62
12008989,2371.83,2985.54,14.7248,14.9584,2451.8,2949.74,984.951,1240.84,6.11479,6.21392,1018.16,1225.97
