Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
702,33.9132,129.201,13.0552,13.5986,33.022,120.606,18.8242,71.4457,7.24657,7.51252,18.3296,66.6931
2754,129.201,206.85000000000002,13.9866,13.326899999999998,120.606,198.5285,71.4457,114.30834999999999,7.73436,7.379545,66.6931,109.70904999999999
10989,284.499,284.499,13.5986,13.0552,276.451,276.451,157.171,157.171,7.51252,7.24657,152.725,152.725
21951,358.542,358.542,12.7519,12.7519,350.353,350.353,198.044,198.044,7.04361,7.04361,193.521,193.521
43902,403.844,403.844,11.8994,12.6488,399.054,399.054,223.049,223.049,6.57224,6.98584,220.403,220.403
87804,419.452,418.491,12.6488,11.8994,422.306,413.332,231.66,231.122,6.98584,6.57224,233.236,228.273
175608,427.354,418.491,9.60028,9.60028,428.722,413.332,236.02,231.122,5.30205,5.30205,236.775,228.273
351216,418.491,418.491,4.4893,4.4893,413.332,413.332,231.122,231.122,2.47933,2.47933,228.273,228.273
702459,377.694,398.0925,3.90513,4.197215,376.316,394.82399999999996,208.59,219.856,2.15669,2.31801,207.829,218.051
1028970,369.525,377.694,3.72818,3.90513,370.892,376.316,204.078,208.59,2.05897,2.15669,204.833,207.829
