Problem size,Base_HIP-block_256,Base_Seq-default,RAJA_HIP-kernel_256,RAJA_HIP-launch_256
2496,33.6568,6.38293,32.5743,33.2337
9792,127.705,6.25147,123.045,124.885
38784,320.146,6.0916,294.431,324.061
77568,307.368,6.04761,333.83,372.297
154944,480.199,6.02887,417.029,477.611
309696,564.698,6.0219,490.998,565.114
619392,638.563,5.92931,534.613,631.91
1238784,656.516,5.98058,538.841,643.288
2477568,672.033,5.9714,551.617,657.633
3629184,687.039,5.98197,562.389,664.526
4954944,682.933,5.91045,567.514,675.018
7258176,688.689,5.90196,558.576,681.414
9677568,688.794,5.90146,557.427,684.472
