Problem size,Base_HIP-atomic_direct_256,Base_HIP-atomic_occgs_256,Base_Seq-default,RAJA_HIP-atomic_direct_256,RAJA_HIP-atomic_occgs_256
6245,2.13172,2.13558,0.309117,1.99748,2.00488
24995,5.374404999999999,5.33478,0.3087485,5.129715,5.104545
99995,8.61709,8.53398,0.30838,8.26195,8.20421
199995,16.7516,16.7853,0.308044,16.2446,15.5979
399995,32.6471,33.4007,0.307964,30.9453,29.5608
799995,58.2522,58.7675,0.307912,54.6576,56.7401
1599995,100.651,103.452,0.307731,91.7972,98.0251
3199995,130.892,133.587,0.307295,125.281,126.487
6399995,171.536,168.966,0.307179,157.081,166.679
9374995,174.457,189.216,0.307156,158.254,187.884
12799995,174.457,189.216,0.307156,158.254,187.884
18749995,182.02249999999998,191.109,0.3071335,165.2985,189.144
24999995,174.457,189.216,0.307156,158.254,187.884
