Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
6250,4.46136,4.5203,9.25599,17.9107,4.57718,3.81591,3.83063,4.65775,2.62709,4.64007,2.59265
25000,11.4713,11.4928,9.4984,18.2721,4.58912,15.3696,15.3823,12.4069,7.97406,12.4162,7.92119
100000,21.3663,22.7513,9.44387,17.946,4.58631,56.5996,57.471,47.8142,17.1615,47.7055,17.1638
200000,31.4902,32.4121,9.42705,17.9276,4.58714,104.426,105.866,91.4688,21.1074,90.696,21.0717
400000,27.613,37.0496,9.45746,17.9685,4.58829,177.934,178.178,168.394,23.3677,169.295,23.2215
800000,24.6339,70.54,9.46773,18.0088,4.58898,237.566,347.681,240.857,24.1335,329.308,45.8789
1600000,21.8346,145.402,9.43083,17.782,4.58467,311.57,661.095,295.141,24.5137,598.921,90.5478
3200000,21.541,306.391,9.35962,17.2797,4.57414,368.882,1091.42,331.915,24.4658,991.432,172.877
6400000,21.6182,573.49,9.36547,17.1248,4.57251,411.026,1722.86,363.719,24.2975,1564.8,322.008
9375000,21.406,817.096,9.35046,17.0078,4.57014,424.781,2017.87,372.367,23.0999,1915.68,454.172
12800000,19.4087,922.82,9.34837,17.0091,4.56956,415.911,2190.38,370.326,23.7009,2033.58,545.025
18750000,19.2922,1078.12,9.36435,17.2053,4.57311,422.829,2153.0,370.5,23.2064,2007.29,674.473
25000000,19.2351,1172.91,9.36658,17.25,4.5735,419.544,2218.97,371.649,21.5732,2108.4,766.882
